Model,Library,Format,Training Time (s),Memory Usage (MB),Validation Accuracy
GraphSAGE,DGL,CSC,CiteSeer,28.152671337127686,-263.24609375,0.7702702702702703
GAT,PyG,COO,CiteSeer,13.893452405929565,-130.62890625,0.621
GAT,PyG,CSR,CiteSeer,14.344324827194214,-44.796875,0.575
GAT,PyG,CSC,CiteSeer,13.895413398742676,1.71875,0.593
GCN,PyG,COO,CiteSeer,1.9750754833221436,11.05859375,0.64
GCN,PyG,CSR,CiteSeer,2.5704150199890137,2.265625,0.633
GCN,PyG,CSC,CiteSeer,2.9644715785980225,2.0,0.636
GCN,DGL,COO,CiteSeer,2.163623332977295,1.19921875,0.7552552552552553
GCN,DGL,CSR,CiteSeer,2.0269322395324707,0.0625,0.7698170731707317
GCN,DGL,CSC,CiteSeer,2.234015464782715,0.49609375,0.7582582582582582
GraphSAGE,PyG,COO,CiteSeer,8.656264305114746,178.73828125,0.608
GraphSAGE,PyG,CSR,CiteSeer,6.9880077838897705,53.18359375,0.58
GraphSAGE,PyG,CSC,CiteSeer,6.659648895263672,-226.83984375,0.563
GraphSAGE,DGL,COO,CiteSeer,6.559265613555908,-264.31640625,0.7522522522522522
GraphSAGE,DGL,CSR,CiteSeer,6.392107009887695,32.96875,0.7530487804878049
GraphSAGE,DGL,CSC,CiteSeer,7.2098987102508545,54.6796875,0.7687687687687688
GCN,PyG,COO,CiteSeer,2.0170769691467285,10.88671875,0.639
GCN,PyG,CSR,CiteSeer,2.4911880493164062,2.203125,0.634
GCN,PyG,CSC,CiteSeer,2.444094181060791,1.99609375,0.632
GCN,DGL,COO,CiteSeer,1.9523730278015137,1.1953125,0.7522522522522522
GCN,DGL,CSR,CiteSeer,1.966231107711792,0.0625,0.7698170731707317
GCN,DGL,CSC,CiteSeer,2.019301176071167,0.49609375,0.7507507507507507
GraphSAGE,PyG,COO,CiteSeer,6.496213436126709,-43.87109375,0.51
GraphSAGE,PyG,CSR,CiteSeer,6.463427543640137,6.171875,0.572
